Table name,State,District,Area Name,Last residence,"Last residence","Place of enumeration",Total migrants-Persons,Total migrants-Males,Total migrants-Females,Duration (<1 year)-Persons,Duration (<1 year)-Males,Duration (<1 year)-Females,Duration (1-4 years)-Persons,Duration (1-4 years)-Males,Duration (1-4 years)-Females,Duration(5-9 years)-Persons,Duration (5-9 years)-Males,Duration (5-9 years)-Females,Duration (10-19 years)-Persons,Duration (10-19 years)-Males,Duration (10-19 years)-Females,Duration(20+ years)-Persons,Duration (20+) Males,Duration (20+ years)-Females,Duration (not stated)-Persons,Duration (not stated)-Males,Duration (not stated)-Females
D0302,0,0,INDIA,Bihar,Rural,Rural,1478083,479393,998690,185208,116505,68703,239153,106113,133040,198440,63395,135045,316016,75623,240393,457280,87683,369597,81986,30074,51912
D0302,0,0,INDIA,Bihar,Rural,Urban,4075824,2417884,1657940,226669,146307,80362,796192,478200,317992,751115,439811,311304,1065960,617654,448306,1039069,628730,410339,196819,107182,89637
D0302,0,0,INDIA,Bihar,Urban,Total,1494841,751304,743537,85169,49097,36072,312918,165648,147270,259599,130182,129417,340972,164808,176164,361474,174358,187116,134709,67211,67498
D0302,0,0,INDIA,Bihar,Urban,Rural,158505,59565,98940,13339,8260,5079,32898,15825,17073,24375,9107,15268,33334,10076,23258,39541,10399,29142,15018,5898,9120
D0302,0,0,INDIA,Bihar,Urban,Urban,1336336,691739,644597,71830,40837,30993,280020,149823,130197,235224,121075,114149,307638,154732,152906,321933,163959,157974,119691,61313,58378
D0302,0,0,INDIA,Sikkim,Total,Total,21459,8436,13023,1486,706,780,5797,2556,3241,3443,1335,2108,3736,1224,2512,5316,1863,3453,1681,752,929
D0302,0,0,INDIA,Sikkim,Total,Rural,11239,3738,7501,592,271,321,2572,1025,1547,1670,509,1161,2035,483,1552,3611,1141,2470,759,309,450
D0302,0,0,INDIA,Sikkim,Total,Urban,10220,4698,5522,894,435,459,3225,1531,1694,1773,826,947,1701,741,960,1705,722,983,922,443,479
D0302,0,0,INDIA,Sikkim,Rural,Total,10660,3530,7130,508,204,304,2595,1097,1498,1649,530,1119,1936,440,1496,3445,1060,2385,527,199,328
D0302,0,0,INDIA,Sikkim,Rural,Rural,8028,2353,5675,288,95,193,1779,687,1092,1210,332,878,1473,260,1213,2925,862,2063,353,117,236
D0302,0,0,INDIA,Sikkim,Rural,Urban,2632,1177,1455,220,109,111,816,410,406,439,198,241,463,180,283,520,198,322,174,82,92
D0302,0,0,INDIA,Sikkim,Urban,Total,9522,4284,5238,907,477,430,2968,1333,1635,1627,711,916,1657,721,936,1660,714,946,703,328,375
D0302,0,0,INDIA,Sikkim,Urban,Rural,2650,1161,1489,270,166,104,705,311,394,407,155,252,506,205,301,556,229,327,206,95,111
D0302,0,0,INDIA,Sikkim,Urban,Urban,6872,3123,3749,637,311,326,2263,1022,1241,1220,556,664,1151,516,635,1104,485,619,497,233,264
D0302,0,0,INDIA,Arunachal Pradesh,Total,Total,37368,17497,19871,3476,1835,1641,11228,5434,5794,7450,3417,4033,7722,3285,4437,4712,2086,2626,2780,1440,1340
D0302,0,0,INDIA,Arunachal Pradesh,Total,Rural,20568,8774,11794,1792,893,899,5650,2611,3039,4220,1695,2525,4561,1718,2843,2769,1042,1727,1576,815,761
D0302,0,0,INDIA,Arunachal Pradesh,Total,Urban,16800,8723,8077,1684,942,742,5578,2823,2755,3230,1722,1508,3161,1567,1594,1943,1044,899,1204,625,579
D0302,0,0,INDIA,Arunachal Pradesh,Rural,Total,19102,8412,10690,1608,809,799,5725,2780,2945,3839,1691,2148,4200,1583,2617,2761,1071,1690,969,478,491
D0302,0,0,INDIA,Arunachal Pradesh,Rural,Rural,13567,5474,8093,1024,462,562,3822,1774,2048,2802,1088,1714,3179,1112,2067,2068,718,1350,672,320,352
D0302,0,0,INDIA,Arunachal Pradesh,Rural,Urban,5535,2938,2597,584,347,237,1903,1006,897,1037,603,434,1021,471,550,693,353,340,297,158,139
D0302,0,0,INDIA,Arunachal Pradesh,Urban,Total,15713,7937,7776,1624,870,754,4960,2446,2514,3265,1596,1669,3158,1557,1601,1715,927,788,991,541,450
D0302,0,0,INDIA,Arunachal Pradesh,Urban,Rural,5497,2668,2829,663,378,285,1550,748,802,1188,522,666,1132,516,616,561,275,286,403,229,174
D0302,0,0,INDIA,Arunachal Pradesh,Urban,Urban,10216,5269,4947,961,492,469,3410,1698,1712,2077,1074,1003,2026,1041,985,1154,652,502,588,312,276
D0302,0,0,INDIA,Nagaland,Total,Total,45734,21045,24689,3755,2172,1583,11751,5302,6449,7961,3418,4543,10382,4571,5811,7337,3360,3977,4548,2222,2326
D0302,0,0,INDIA,Nagaland,Total,Rural,24489,10978,13511,2030,1247,783,5459,2304,3155,4374,1806,2568,5938,2518,3420,3971,1748,2223,2717,1355,1362
D0302,0,0,INDIA,Nagaland,Total,Urban,21245,10067,11178,1725,925,800,6292,2998,3294,3587,1612,1975,4444,2053,2391,3366,1612,1754,1831,867,964
D0302,0,0,INDIA,Nagaland,Rural,Total,18970,8433,10537,1358,793,565,4669,2094,2575,3404,1424,1980,4742,2027,2715,3299,1398,1901,1498,697,801
D0302,0,0,INDIA,Nagaland,Rural,Rural,14021,6030,7991,944,561,383,3089,1280,1809,2539,1012,1527,3726,1561,2165,2528,1054,1474,1195,562,633
D0302,0,0,INDIA,Nagaland,Rural,Urban,4949,2403,2546,414,232,182,1580,814,766,865,412,453,1016,466,550,771,344,427,303,135,168
D0302,0,0,INDIA,Nagaland,Urban,Total,24051,11295,12756,2219,1279,940,6684,3042,3642,4264,1863,2401,5292,2388,2904,3754,1841,1913,1838,882,956
D0302,0,0,INDIA,Nagaland,Urban,Rural,8924,4204,4720,981,620,361,2192,958,1234,1672,721,951,2022,873,1149,1290,638,652,767,394,373
D0302,0,0,INDIA,Nagaland,Urban,Urban,15127,7091,8036,1238,659,579,4492,2084,2408,2592,1142,1450,3270,1515,1755,2464,1203,1261,1071,488,583
D0302,0,0,INDIA,Manipur,Total,Total,75751,37453,38298,7182,3807,3375,22675,11078,11597,13319,6528,6791,15445,7461,7984,11370,5477,5893,5760,3102,2658
D0302,0,0,INDIA,Manipur,Total,Rural,25119,12195,12924,2260,1341,919,5700,2676,3024,4118,1943,2175,5845,2734,3111,5368,2452,2916,1828,1049,779
D0302,0,0,INDIA,Manipur,Total,Urban,50632,25258,25374,4922,2466,2456,16975,8402,8573,9201,4585,4616,9600,4727,4873,6002,3025,2977,3932,2053,1879
D0302,0,0,INDIA,Manipur,Rural,Total,39327,19344,19983,3381,1791,1590,10725,5232,5493,6954,3432,3522,9325,4516,4809,7199,3474,3725,1743,899,844
D0302,0,0,INDIA,Manipur,Rural,Rural,17894,8550,9344,1282,713,569,3711,1734,1977,3013,1427,1586,4717,2219,2498,4408,2039,2369,763,418,345
D0302,0,0,INDIA,Manipur,Rural,Urban,21433,10794,10639,2099,1078,1021,7014,3498,3516,3941,2005,1936,4608,2297,2311,2791,1435,1356,980,481,499
D0302,0,0,INDIA,Manipur,Urban,Total,31129,15365,15764,3156,1621,1535,10936,5395,5541,5768,2814,2954,5571,2697,2874,3596,1771,1825,2102,1067,1035
D0302,0,0,INDIA,Manipur,Urban,Rural,5329,2597,2732,733,414,319,1732,835,897,896,435,461,908,414,494,689,314,375,371,185,186
D0302,0,0,INDIA,Manipur,Urban,Urban,25800,12768,13032,2423,1207,1216,9204,4560,4644,4872,2379,2493,4663,2283,2380,2907,1457,1450,1731,882,849
D0302,0,0,INDIA,Mizoram,Total,Total,30365,14839,15526,1643,851,792,5282,2632,2650,2177,928,1249,17118,8438,8680,2405,1108,1297,1740,882,858
D0302,0,0,INDIA,Mizoram,Total,Rural,22691,11247,11444,659,378,281,2488,1257,1231,990,407,583,16234,8062,8172,1268,587,681,1052,556,496
D0302,0,0,INDIA,Mizoram,Total,Urban,7674,3592,4082,984,473,511,2794,1375,1419,1187,521,666,884,376,508,1137,521,616,688,326,362
D0302,0,0,INDIA,Mizoram,Rural,Total,22263,11044,11219,615,327,288,2630,1365,1265,945,377,568,15932,7953,7979,1418,665,753,723,357,366
D0302,0,0,INDIA,Mizoram,Rural,Rural,19944,9946,9998,345,193,152,1812,945,867,618,240,378,15656,7840,7816,951,444,507,562,284,278
D0302,0,0,INDIA,Mizoram,Rural,Urban,2319,1098,1221,270,134,136,818,420,398,327,137,190,276,113,163,467,221,246,161,73,88
D0302,0,0,INDIA,Mizoram,Urban,Total,6392,2908,3484,924,465,459,2250,1018,1232,1086,488,598,816,329,487,832,374,458,484,234,250
D0302,0,0,INDIA,Mizoram,Urban,Rural,1687,783,904,256,149,107,532,249,283,265,124,141,259,85,174,233,105,128,142,71,71
D0302,0,0,INDIA,Mizoram,Urban,Urban,4705,2125,2580,668,316,352,1718,769,949,821,364,457,557,244,313,599,269,330,342,163,179
D0302,0,0,INDIA,Tripura,Total,Total,85862,39627,46235,4994,2647,2347,14303,6641,7662,10764,4536,6228,18067,7805,10262,32720,15545,17175,5014,2453,2561
D0302,0,0,INDIA,Tripura,Total,Rural,35260,13510,21750,2793,1480,1313,5476,2076,3400,3938,1121,2817,7057,2306,4751,14296,5709,8587,1700,818,882
D0302,0,0,INDIA,Tripura,Total,Urban,50602,26117,24485,2201,1167,1034,8827,4565,4262,6826,3415,3411,11010,5499,5511,18424,9836,8588,3314,1635,1679
D0302,0,0,INDIA,Tripura,Rural,Total,45538,20159,25379,3070,1601,1469,7348,3284,4064,5489,2064,3425,9732,3968,5764,18405,8546,9859,1494,696,798
D0302,0,0,INDIA,Tripura,Rural,Rural,27177,10207,16970,2330,1197,1133,4348,1621,2727,3005,784,2221,5524,1771,3753,11197,4492,6705,773,342,431
D0302,0,0,INDIA,Tripura,Rural,Urban,18361,9952,8409,740,404,336,3000,1663,1337,2484,1280,1204,4208,2197,2011,7208,4054,3154,721,354,367
D0302,0,0,INDIA,Tripura,Urban,Total,35225,17065,18160,1550,803,747,6299,3102,3197,4883,2304,2579,7545,3511,4034,12803,6297,6506,2145,1048,1097
D0302,0,0,INDIA,Tripura,Urban,Rural,5975,2388,3587,330,181,149,944,404,540,778,285,493,1183,409,774,2411,936,1475,329,173,156
D0302,0,0,INDIA,Tripura,Urban,Urban,29250,14677,14573,1220,622,598,5355,2698,2657,4105,2019,2086,6362,3102,3260,10392,5361,5031,1816,875,941
D0302,0,0,INDIA,Meghalaya,Total,Total,70268,30419,39849,4193,2028,2165,14676,6473,8203,10717,4145,6572,14368,5623,8745,20912,9455,11457,5402,2695,2707
D0302,0,0,INDIA,Meghalaya,Total,Rural,29026,11354,17672,2119,1083,1036,6059,2434,3625,4620,1477,3143,6055,1972,4083,8141,3405,4736,2032,983,1049
D0302,0,0,INDIA,Meghalaya,Total,Urban,41242,19065,22177,2074,945,1129,8617,4039,4578,6097,2668,3429,8313,3651,4662,12771,6050,6721,3370,1712,1658
D0302,0,0,INDIA,Meghalaya,Rural,Total,26203,9738,16465,1561,725,836,5194,1851,3343,4279,1349,2930,5838,1884,3954,8178,3432,4746,1153,497,656
D0302,0,0,INDIA,Meghalaya,Rural,Rural,19048,6590,12458,1125,516,609,3566,1083,2483,3215,915,2300,4359,1288,3071,6017,2474,3543,766,314,452
D0302,0,0,INDIA,Meghalaya,Rural,Urban,7155,3148,4007,436,209,227,1628,768,860,1064,434,630,1479,596,883,2161,958,1203,387,183,204
D0302,0,0,INDIA,Meghalaya,Urban,Total,40746,19198,21548,2459,1217,1242,9029,4466,4563,6083,2665,3418,8147,3615,4532,12106,5775,6331,2922,1460,1462
D0302,0,0,INDIA,Meghalaya,Urban,Rural,8067,3944,4123,889,502,387,2218,1257,961,1174,482,692,1450,612,838,1745,782,963,591,309,282
D0302,0,0,INDIA,Meghalaya,Urban,Urban,32679,15254,17425,1570,715,855,6811,3209,3602,4909,2183,2726,6697,3003,3694,10361,4993,5368,2331,1151,1180
D0302,0,0,INDIA,Assam,Total,Total,659694,320401,339293,53828,34225,19603,150088,79244,70844,101361,47204,54157,139119,60836,78283,173723,77844,95879,41575,21048,20527
D0302,0,0,INDIA,Assam,Total,Rural,280912,123316,157596,25596,17114,8482,55379,26720,28659,41971,16893,25078,62344,23344,39000,79172,31038,48134,16450,8207,8243
D0302,0,0,INDIA,Assam,Total,Urban,378782,197085,181697,28232,17111,11121,94709,52524,42185,59390,30311,29079,76775,37492,39283,94551,46806,47745,25125,12841,12284
D0302,0,0,INDIA,Assam,Rural,Total,371078,180878,190200,32843,21770,11073,82295,44772,37523,57323,26667,30656,82026,35352,46674,102244,45174,57070,14347,7143,7204
D0302,0,0,INDIA,Assam,Rural,Rural,210936,91587,119349,18921,12618,6303,40851,19661,21190,32074,12810,19264,48549,18110,30439,62747,24712,38035,7794,3676,4118
D0302,0,0,INDIA,Assam,Rural,Urban,160142,89291,70851,13922,9152,4770,41444,25111,16333,25249,13857,11392,33477,17242,16235,39497,20462,19035,6553,3467,3086
D0302,0,0,INDIA,Assam,Urban,Total,250306,120897,129409,18351,10846,7505,61210,31166,30044,39924,18707,21217,51564,23277,28287,63326,29156,34170,15931,7745,8186
D0302,0,0,INDIA,Assam,Urban,Rural,52069,23702,28367,5347,3723,1624,11493,5698,5795,7955,3344,4611,11041,4251,6790,12662,4891,7771,3571,1795,1776
D0302,0,0,INDIA,Assam,Urban,Urban,198237,97195,101042,13004,7123,5881,49717,25468,24249,31969,15363,16606,40523,19026,21497,50664,24265,26399,12360,5950,6410
D0302,0,0,INDIA,West Bengal,Total,Total,2405522,953641,1451881,174933,110341,64592,468824,226216,242608,367583,150593,216990,518446,179564,338882,716368,217343,499025,159368,69584,89784
D0302,0,0,INDIA,West Bengal,Total,Rural,897145,202765,694380,65310,42418,22892,128119,40097,88022,115469,22287,93182,199394,30273,169121,337384,49747,287637,51469,17943,33526
D0302,0,0,INDIA,West Bengal,Total,Urban,1508377,750876,757501,109623,67923,41700,340705,186119,154586,252114,128306,123808,319052,149291,169761,378984,167596,211388,107899,51641,56258
D0302,0,0,INDIA,West Bengal,Rural,Total,1150624,415794,734830,90929,60123,30806,217962,104501,113461,175229,66306,108923,255249,77085,178164,366597,90716,275881,44658,17063,27595
D0302,0,0,INDIA,West Bengal,Rural,Rural,621128,125985,495143,42545,27199,15346,86480,24738,61742,80409,13229,67180,140905,18994,121911,247738,35432,212306,23051,6393,16658
D0302,0,0,INDIA,West Bengal,Rural,Urban,529496,289809,239687,48384,32924,15460,131482,79763,51719,94820,53077,41743,114344,58091,56253,118859,55284,63575,21607,10670,10937
D0302,0,0,INDIA,West Bengal,Urban,Total,1149286,491552,657734,77110,45720,31390,235873,114347,121526,181946,80155,101791,248830,97377,151453,327692,119845,207847,77835,34108,43727
D0302,0,0,INDIA,West Bengal,Urban,Rural,234768,64045,170723,20096,13546,6550,36818,13726,23092,31224,8225,22999,52583,10329,42254,78795,12588,66207,15252,5631,9621
D0302,0,0,INDIA,West Bengal,Urban,Urban,914518,427507,487011,57014,32174,24840,199055,100621,98434,150722,71930,78792,196247,87048,109199,248897,107257,141640,62583,28477,34106
D0302,0,0,INDIA,Jharkhand,Total,Total,1704827,571981,1132846,132540,79066,53474,302235,125796,176439,257129,87062,170067,379139,108817,270322,511422,125733,385689,122362,45507,76855
D0302,0,0,INDIA,Jharkhand,Total,Rural,880351,179201,701150,77435,45589,31846,122635,32099,90536,114939,18232,96707,193086,25278,167808,312029,40868,271161,60227,17135,43092
D0302,0,0,INDIA,Jharkhand,Total,Urban,824476,392780,431696,55105,33477,21628,179600,93697,85903,142190,68830,73360,186053,83539,102514,199393,84865,114528,62135,28372,33763
D0302,0,0,INDIA,Jharkhand,Rural,Total,1149738,361659,788079,98569,60513,38056,187732,75573,112159,168638,53707,114931,261393,69492,191901,379193,84452,294741,54213,17922,36291
D0302,0,0,INDIA,Jharkhand,Rural,Rural,732024,141595,590429,66803,39502,27301,99249,24539,74710,94614,13980,80634,162881,20197,142684,273483,34799,238684,34994,8578,26416
D0302,0,0,INDIA,Jharkhand,Rural,Urban,417714,220064,197650,31766,21011,10755,88483,51034,37449,74024,39727,34297,98512,49295,49217,105710,49653,56057,19219,9344,9875
D0302,0,0,INDIA,Jharkhand,Urban,Total,472153,179271,292882,28981,15655,13326,104054,45856,58198,79975,30314,49661,106357,35798,70559,115289,36241,79048,37497,15407,22090
D0302,0,0,INDIA,Jharkhand,Urban,Rural,105771,26369,79402,7808,4545,3263,19039,6453,12586,16654,3642,13012,24852,4344,20508,29332,4687,24645,8086,2698,5388
D0302,0,0,INDIA,Jharkhand,Urban,Urban,366382,152902,213480,21173,11110,10063,85015,39403,45612,63321,26672,36649,81505,31454,50051,85957,31554,54403,29411,12709,16702
D0302,0,0,INDIA,Odisha,Total,Total,1271121,601500,669621,104896,62879,42017,300777,166113,134664,219841,111242,108599,255401,110647,144754,311525,112050,199475,78681,38569,40112
D0302,0,0,INDIA,Odisha,Total,Rural,451886,127156,324730,47209,26860,20349,85106,34956,50150,63661,16716,46945,88922,17092,71830,142611,21876,120735,24377,9656,14721
D0302,0,0,INDIA,Odisha,Total,Urban,819235,474344,344891,57687,36019,21668,215671,131157,84514,156180,94526,61654,166479,93555,72924,168914,90174,78740,54304,28913,25391
D0302,0,0,INDIA,Odisha,Rural,Total,866338,403397,462941,73307,44395,28912,197235,111180,86055,149326,75952,73374,180399,77138,103261,233316,79087,154229,32755,15645,17110
D0302,0,0,INDIA,Odisha,Rural,Rural,377637,99505,278132,38816,21703,17113,68410,27211,41199,52880,13156,39724,76166,13737,62429,127707,18660,109047,13658,5038,8620
D0302,0,0,INDIA,Odisha,Rural,Urban,488701,303892,184809,34491,22692,11799,128825,83969,44856,96446,62796,33650,104233,63401,40832,105609,60427,45182,19097,10607,8490
D0302,0,0,INDIA,Odisha,Urban,Total,332109,160333,171776,26025,14995,11030,88794,46233,42561,60024,29358,30666,65345,28967,36378,65380,27772,37608,26541,13008,13533
D0302,0,0,INDIA,Odisha,Urban,Rural,51198,19805,31393,6185,3886,2299,12942,6110,6832,8319,2897,5422,9942,2771,7171,9974,2416,7558,3836,1725,2111
D0302,0,0,INDIA,Odisha,Urban,Urban,280911,140528,140383,19840,11109,8731,75852,40123,35729,51705,26461,25244,55403,26196,29207,55406,25356,30050,22705,11283,11422
D0302,0,0,INDIA,Chhattisgarh,Total,Total,693632,250187,443445,91313,47552,43761,119036,46615,72421,94036,31652,62384,140063,44795,95268,196466,56340,140126,52718,23233,29485
D0302,0,0,INDIA,Chhattisgarh,Total,Rural,339541,95613,243928,61777,32113,29664,46782,14081,32701,40941,9621,31320,60279,11686,48593,105198,17783,87415,24564,10329,14235
D0302,0,0,INDIA,Chhattisgarh,Total,Urban,354091,154574,199517,29536,15439,14097,72254,32534,39720,53095,22031,31064,79784,33109,46675,91268,38557,52711,28154,12904,15250
D0302,0,0,INDIA,Chhattisgarh,Rural,Total,459764,160078,299686,71686,37652,34034,71071,26608,44463,59768,19225,40543,93431,28710,64721,140604,37862,102742,23204,10021,13183
D0302,0,0,INDIA,Chhattisgarh,Rural,Rural,284295,76777,207518,54097,28130,25967,37237,10636,26601,34014,7696,26318,51637,9602,42035,93351,15146,78205,13959,5567,8392
D0302,0,0,INDIA,Chhattisgarh,Rural,Urban,175469,83301,92168,17589,9522,8067,33834,15972,17862,25754,11529,14225,41794,19108,22686,47253,22716,24537,9245,4454,4791
D0302,0,0,INDIA,Chhattisgarh,Urban,Total,197398,76075,121323,15027,7662,7365,43907,18573,25334,31149,11474,19675,42637,14903,27734,49593,16869,32724,15085,6594,8491
D0302,0,0,INDIA,Chhattisgarh,Urban,Rural,34676,11931,22745,4257,2370,1887,7594,2899,4695,5293,1586,3707,6674,1747,4927,8107,2016,6091,2751,1313,1438
D0302,0,0,INDIA,Chhattisgarh,Urban,Urban,162722,64144,98578,10770,5292,5478,36313,15674,20639,25856,9888,15968,35963,13156,22807,41486,14853,26633,12334,5281,7053
D0302,0,0,INDIA,Madhya Pradesh,Total,Total,2979492,997949,1981543,215898,112002,103896,551384,218951,332433,451546,157262,294284,648522,195086,453436,906226,233735,672491,205916,80913,125003
D0302,0,0,INDIA,Madhya Pradesh,Total,Rural,1348654,287842,1060812,105119,52325,52794,213802,58766,155036,187190,39518,147672,297014,50620,246394,466537,60828,405709,78992,25785,53207
D0302,0,0,INDIA,Madhya Pradesh,Total,Urban,1630838,710107,920731,110779,59677,51102,337582,160185,177397,264356,117744,146612,351508,144466,207042,439689,172907,266782,126924,55128,71796
D0302,0,0,INDIA,Madhya Pradesh,Rural,Total,1829629,567305,1262324,146287,77770,68517,327103,126231,200872,275788,90660,185128,411013,113446,297567,588429,130321,458108,81009,28877,52132
D0302,0,0,INDIA,Madhya Pradesh,Rural,Rural,1107041,217234,889807,85866,42546,43320,170934,44474,126460,152888,29850,123038,249600,39184,210416,402871,49023,353848,44882,12157,32725
D0302,0,0,INDIA,Madhya Pradesh,Rural,Urban,722588,350071,372517,60421,35224,25197,156169,81757,74412,122900,60810,62090,161413,74262,87151,185558,81298,104260,36127,16720,19407
D0302,0,0,INDIA,Madhya Pradesh,Urban,Total,1004789,378102,626687,60649,29730,30919,204339,85326,119013,160122,61501,98621,218178,76205,141973,288678,96394,192284,72823,28946,43877
D0302,0,0,INDIA,Madhya Pradesh,Urban,Rural,170015,51305,118710,14422,7567,6855,33607,11994,21613,26607,8046,18561,37267,9645,27622,47233,9709,37524,10879,4344,6535
D0302,0,0,INDIA,Madhya Pradesh,Urban,Urban,834774,326797,507977,46227,22163,24064,170732,73332,97400,133515,53455,80060,180911,66560,114351,241445,86685,154760,61944,24602,37342
D0302,0,0,INDIA,Gujarat,Total,Total,1571862,685510,886352,105752,64401,41351,247151,107004,140147,204635,83170,121465,299997,115712,184285,608439,264805,343634,105888,50418,55470
D0302,0,0,INDIA,Gujarat,Total,Rural,350323,116397,233926,52847,37467,15380,60190,21461,38729,47880,13308,34572,66453,15228,51225,95549,16096,79453,27404,12837,14567
D0302,0,0,INDIA,Gujarat,Total,Urban,1221539,569113,652426,52905,26934,25971,186961,85543,101418,156755,69862,86893,233544,100484,133060,512890,248709,264181,78484,37581,40903
D0302,0,0,INDIA,Gujarat,Rural,Total,699056,284512,414544,32044,16791,15253,90992,35893,55099,84969,31491,53478,141331,51230,90101,328538,140417,188121,21182,8690,12492
D0302,0,0,INDIA,Gujarat,Rural,Rural,201819,40649,161170,15576,8240,7336,31219,8164,23055,28140,5472,22668,43316,6757,36559,74743,9188,65555,8825,2828,5997
D0302,0,0,INDIA,Gujarat,Rural,Urban,497237,243863,253374,16468,8551,7917,59773,27729,32044,56829,26019,30810,98015,44473,53542,253795,131229,122566,12357,5862,6495
D0302,0,0,INDIA,Gujarat,Urban,Total,781433,360708,420725,70796,46158,24638,148498,68096,80402,112244,48749,63495,147334,59979,87355,245200,109513,135687,57361,28213,29148
D0302,0,0,INDIA,Gujarat,Urban,Rural,128265,68750,59515,36228,28656,7572,27101,12779,14322,18033,7433,10600,21003,8084,12919,16926,6416,10510,8974,5382,3592
D0302,0,0,INDIA,Gujarat,Urban,Urban,653168,291958,361210,34568,17502,17066,121397,55317,66080,94211,41316,52895,126331,51895,74436,228274,103097,125177,48387,22831,25556
D0302,0,0,INDIA,Daman & Diu,Total,Total,18906,6830,12076,1202,638,564,3512,1597,1915,2613,951,1662,3973,1195,2778,5867,1681,4186,1739,768,971
D0302,0,0,INDIA,Daman & Diu,Total,Rural,8027,2285,5742,453,223,230,1102,391,711,1053,290,763,1861,418,1443,2694,579,2115,864,384,480
D0302,0,0,INDIA,Daman & Diu,Total,Urban,10879,4545,6334,749,415,334,2410,1206,1204,1560,661,899,2112,777,1335,3173,1102,2071,875,384,491
D0302,0,0,INDIA,Daman & Diu,Rural,Total,6929,1856,5073,303,142,161,1025,371,654,898,249,649,1603,347,1256,2680,591,2089,420,156,264
D0302,0,0,INDIA,Daman & Diu,Rural,Rural,3860,760,3100,139,56,83,492,128,364,482,97,385,967,155,812,1531,247,1284,249,77,172
D0302,0,0,INDIA,Daman & Diu,Rural,Urban,3069,1096,1973,164,86,78,533,243,290,416,152,264,636,192,444,1149,344,805,171,79,92
D0302,0,0,INDIA,Daman & Diu,Urban,Total,11020,4548,6472,871,484,387,2407,1186,1221,1655,681,974,2291,820,1471,3038,1039,1999,758,338,420
D0302,0,0,INDIA,Daman & Diu,Urban,Rural,3708,1298,2410,306,164,142,593,254,339,552,187,365,879,257,622,1121,323,798,257,113,144
D0302,0,0,INDIA,Daman & Diu,Urban,Urban,7312,3250,4062,565,320,245,1814,932,882,1103,494,609,1412,563,849,1917,716,1201,501,225,276
D0302,0,0,INDIA,Dadra & Nagar Haveli,Total,Total,16635,4368,12267,931,465,466,3323,1211,2112,2528,714,1814,3485,685,2800,4667,617,4050,1701,676,1025
D0302,0,0,INDIA,Dadra & Nagar Haveli,Total,Rural,10723,1721,9002,431,175,256,1762,416,1346,1497,216,1281,2337,255,2082,3603,276,3327,1093,383,710
D0302,0,0,INDIA,Dadra & Nagar Haveli,Total,Urban,5912,2647,3265,500,290,210,1561,795,766,1031,498,533,1148,430,718,1064,341,723,608,293,315
D0302,0,0,INDIA,Dadra & Nagar Haveli,Rural,Total,10798,1820,8978,383,136,247,1873,493,1380,1595,311,1284,2507,325,2182,3788,368,3420,652,187,465
D0302,0,0,INDIA,Dadra & Nagar Haveli,Rural,Rural,8694,1027,7667,267,77,190,1408,268,1140,1261,150,1111,2020,172,1848,3214,221,2993,524,139,385
D0302,0,0,INDIA,Dadra & Nagar Haveli,Rural,Urban,2104,793,1311,116,59,57,465,225,240,334,161,173,487,153,334,574,147,427,128,48,80
D0302,0,0,INDIA,Dadra & Nagar Haveli,Urban,Total,4852,2154,2698,509,310,199,1375,692,683,862,384,478,913,347,566,750,218,532,443,203,240
D0302,0,0,INDIA,Dadra & Nagar Haveli,Urban,Rural,1424,493,931,159,96,63,320,146,174,192,59,133,275,80,195,306,45,261,172,67,105
D0302,0,0,INDIA,Dadra & Nagar Haveli,Urban,Urban,3428,1661,1767,350,214,136,1055,546,509,670,325,345,638,267,371,444,173,271,271,136,135
D0302,0,0,INDIA,Maharashtra,Total,Total,3068231,1214092,1854139,219296,114847,104449,562254,227474,334780,470428,182244,288184,646917,240337,406580,899235,326532,572703,270101,122658,147443
D0302,0,0,INDIA,Maharashtra,Total,Rural,1016786,299661,717125,102831,57695,45136,162674,50656,112018,145618,39525,106093,206850,50781,156069,315148,65088,250060,83665,35916,47749
D0302,0,0,INDIA,Maharashtra,Total,Urban,2051445,914431,1137014,116465,57152,59313,399580,176818,222762,324810,142719,182091,440067,189556,250511,584087,261444,322643,186436,86742,99694
D0302,0,0,INDIA,Maharashtra,Rural,Total,1320785,467965,852820,91336,43631,47705,216468,78224,138244,202975,72567,130408,294180,100459,193721,450140,145078,305062,65686,28006,37680
D0302,0,0,INDIA,Maharashtra,Rural,Rural,636391,144746,491645,54964,26142,28822,92849,22761,70088,89050,19247,69803,134642,26324,108318,235539,39854,195685,29347,10418,18929
D0302,0,0,INDIA,Maharashtra,Rural,Urban,684394,323219,361175,36372,17489,18883,123619,55463,68156,113925,53320,60605,159538,74135,85403,214601,105224,109377,36339,17588,18751
D0302,0,0,INDIA,Maharashtra,Urban,Total,1570326,670322,900004,120081,67385,52696,326278,141592,184686,249352,102520,146832,331795,131620,200175,418748,170248,248500,124072,56957,67115
D0302,0,0,INDIA,Maharashtra,Urban,Rural,319808,133476,186332,44716,30065,14651,64957,26597,38360,52050,19166,32884,66513,23083,43430,69642,23354,46288,21930,11211,10719
D0302,0,0,INDIA,Maharashtra,Urban,Urban,1250518,536846,713672,75365,37320,38045,261321,114995,146326,197302,83354,113948,265282,108537,156745,349106,146894,202212,102142,45746,56396
